idno,words,sents,mean,median,stdev,author-short,author-gender,title,pub-year,creation,genre,subgenre,series,cf-class,narration,decade-pub,decade-cre
fr0026,367867,23725,15.51,13,12.0373261127,Simenon,male,MemoiresIntimes,1981,1980,essay,autobiographical,Dictées,autob,heterodiegetic,1980s,1980s
rv0001,37701,3396,11.10,8,8.9884750088,Simenon,male,Ecluse,1933,1933,novel,policier,Maigret,maigr,heterodiegetic,1930s,1930s
rv0002,46249,3502,13.21,10,10.3734622504,Simenon,male,HommePetitChien,1964,1964,novel,psychological,durs,romans,autodiegetic,1960s,1960s
rv0003,44714,3953,11.31,8,9.6620566702,Simenon,male,InspecteurCadavre,1944,1943,novel,policier,Maigret,maigr,heterodiegetic,1940s,1940s
rv0004,40746,2835,14.37,11,11.111946857,Simenon,male,OursPeluche,1960,1960,novel,psychological,durs,romans,heterodiegetic,1960s,1960s
rv0005,54325,4185,12.98,10,10.6659102636,Simenon,male,JumentPerdue,1948,1948,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
rv0006,29412,3107,9.47,7,8.6367012635,Simenon,male,MaisonSeptFilles,1941,1941,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
rv0007,40652,4158,9.78,8,7.9892737893,Simenon,male,MaisonJuge,1942,1940,novel,policier,Maigret,maigr,heterodiegetic,1940s,1940s
rv0008,48464,3525,13.75,10,11.1480470077,Simenon,male,MortBelle,1952,1951,novel,policier,durs,romans,heterodiegetic,1950s,1950s
rv0009,36121,3744,9.65,7,7.7713436494,Simenon,male,NuitCarrefour,1931,1931,novel,policier,Maigret,maigr,heterodiegetic,1930s,1930s
rv0010,40004,3415,11.71,9,9.8802057643,Simenon,male,PatienceMaigret,1965,1965,novel,policier,Maigret,maigr,heterodiegetic,1960s,1960s
rv0011,39565,2911,13.59,10,10.9845672965,Simenon,male,Porte,1962,1962,novel,psychological,durs,romans,heterodiegetic,1960s,1960s
rv0012,37771,3483,10.84,7,10.3414801839,Simenon,male,Felicie,1944,1942,novel,policier,Maigret,maigr,heterodiegetic,1940s,1940s
rv0013,43252,4189,10.33,8,8.5338297633,Simenon,male,VeriteBebeDonge,1942,1942,novel,policier,durs,romans,heterodiegetic,1940s,1940s
rv0014,60722,4942,12.29,9,10.2795323347,Simenon,male,JumentPerdue,1948,1948,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
rv0015,37903,3801,9.97,8,7.9405510803,Simenon,male,ChienJaune,1931,1931,novel,policier,Maigret,maigr,heterodiegetic,1930s,1930s
rv0016,43317,3698,11.71,9,9.2285114015,Simenon,male,CoupLune,1933,1933,novel,psychological,durs,romans,heterodiegetic,1930s,1930s
rv0017,43187,3125,13.82,9,13.8835334974,Simenon,male,FuiteMonde,1945,1945,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
rv0018,47625,3242,14.69,11,11.4350276318,Simenon,male,Horloger,1954,1954,novel,psychological,durs,romans,heterodiegetic,1950s,1950s
rv0019,44310,3012,14.71,11,11.9619347735,Simenon,male,Negre,1957,1957,novel,psychological,durs,romans,heterodiegetic,1950s,1950s
rv0020,43521,2748,15.84,13,11.7142451956,Simenon,male,Dimanche,1958,1958,novel,psychological,durs,romans,heterodiegetic,1950s,1950s
rv0021,38078,3026,12.58,9,10.1389446171,Simenon,male,Betty,1961,1961,novel,psychological,durs,romans,heterodiegetic,1960s,1960s
rv0022,40755,2797,14.57,11,11.4929081158,Simenon,male,MortAuguste,1966,1966,novel,psychological,durs,romans,heterodiegetic,1960s,1960s
rv0023,46214,3909,11.82,9,8.7589706663,Simenon,male,MaigretEcole,1954,1954,novel,policier,Maigret,maigr,heterodiegetic,1950s,1950s
rv0024,37352,3165,11.80,9,9.7274288844,Simenon,male,MaigreVoleur,1961,1961,novel,policier,Maigret,maigr,heterodiegetic,1960s,1960s
rv0025,44035,3115,14.14,10,12.4406909436,Simenon,male,MonsieurGallet,1931,1931,novel,policier,Maigret,maigr,heterodiegetic,1930s,1930s
rv0026,44573,3364,13.25,10,11.7860529186,Simenon,male,MaigretHesite,1968,1968,novel,policier,Maigret,maigr,heterodiegetic,1960s,1960s
rv0027,36428,3395,10.73,8,8.840683096,Simenon,male,MaigretClient,1962,1962,novel,policier,Maigret,maigr,heterodiegetic,1960s,1960s
rv0028,44900,4086,10.99,8,9.1685618403,Simenon,male,MaigretLognon,1952,1952,novel,policier,Maigret,maigr,heterodiegetic,1950s,1950s
rv0029,50992,3345,15.24,11,13.9634741515,Simenon,male,MaigretNewYork,1947,1947,novel,policier,Maigret,maigr,heterodiegetic,1940s,1940s
rv0030,39855,3675,10.84,8,8.9091803426,Simenon,male,PietrLetton,1931,1930,novel,policier,Maigret,maigr,heterodiegetic,1930s,1930s
rv0031,41399,3186,12.99,9,11.4567458985,Simenon,male,AffaireNahour,1966,1966,novel,policier,Maigret,maigr,heterodiegetic,1960s,1960s
rv0032,41422,4092,10.12,9,6.8287317693,Simenon,male,FolleMaigret,1970,1970,novel,policier,Maigret,maigr,heterodiegetic,1970s,1970s
rv0033,40085,3088,12.98,10,10.8997117055,Simenon,male,TeteHomme,1931,1931,novel,policier,Maigret,maigr,heterodiegetic,1930s,1930s
rv0034,34963,3048,11.47,8.5,10.3656477826,Simenon,male,MaigretFlamands,1932,1932,novel,policier,Maigret,maigr,heterodiegetic,1930s,1930s
rv0035,36165,3268,11.07,8,9.5521917304,Simenon,male,FouBergerac,1932,1932,novel,policier,Maigret,maigr,heterodiegetic,1930s,1930s
rv0036,54650,4678,11.68,9,10.3494516951,Simenon,male,MaigretMort,1947,1947,novel,policier,Maigret,maigr,heterodiegetic,1940s,1940s
rv0037,48116,3727,12.91,10,9.5272600945,Simenon,male,AmieMmeMaigret,1950,1950,novel,policier,Maigret,maigr,heterodiegetic,1950s,1950s
rv0038,41900,4074,10.28,8,8.3507678745,Simenon,male,MaigretGrandePerche,1951,1951,novel,policier,Maigret,maigr,heterodiegetic,1950s,1950s
rv0039,45492,3377,13.47,11,10.0074806932,Simenon,male,ScrupulesMaigret,1957,1957,novel,policier,Maigret,maigr,heterodiegetic,1950s,1950s
rv0040,39599,2736,14.47,10,13.6655975762,Simenon,male,ConfidenceMaigret,1959,1959,novel,policier,Maigret,maigr,heterodiegetic,1950s,1950s
rv0041,38158,2701,14.13,11,10.1932491413,Simenon,male,MaigretAssises,1959,1959,novel,policier,Maigret,maigr,heterodiegetic,1950s,1950s
rv0042,38328,3149,12.17,9,9.5825771952,Simenon,male,MaigretVieillards,1960,1960,novel,policier,Maigret,maigr,heterodiegetic,1960s,1960s
rv0043,41780,2635,15.86,12,13.0371997209,Simenon,male,TrainVenise,1965,1965,novel,psychological,durs,romans,heterodiegetic,1960s,1960s
rv0044,43699,3308,13.21,9,11.4493387913,Simenon,male,Vieille,1959,1959,novel,psychological,durs,romans,heterodiegetic,1950s,1950s
rv0045,44292,4755,9.31,7,7.3374957798,Simenon,male,Prison,1967,1967,novel,psychological,durs,romans,heterodiegetic,1960s,1960s
rv0046,41107,3600,11.42,8,8.9407331457,Simenon,male,Demenagement,1967,1967,novel,psychological,durs,romans,heterodiegetic,1960s,1960s
rv0047,57045,4473,12.75,10,10.2446653068,Simenon,male,DestinMalou,1947,1947,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
rv0048,48258,4389,11.00,9,9.0114089293,Simenon,male,FondBouteille,1949,1949,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
rv0049,42722,4190,10.20,8,7.961493529,Simenon,male,Locataire,1934,1934,novel,psychological,durs,romans,heterodiegetic,1930s,1930s
rv0050,50352,3299,15.26,12,11.9012704523,Simenon,male,Temoins,1955,1955,novel,psychological,durs,romans,heterodiegetic,1950s,1950s
rv0051,47974,3865,12.41,9,11.0358770903,Simenon,male,TempsAnais,1951,1951,novel,psychological,durs,romans,heterodiegetic,1950s,1950s
rv0052,37575,3842,9.78,8,7.7716156348,Simenon,male,RelaisAlsace,1931,1931,novel,psychological,durs,romans,heterodiegetic,1930s,1930s
rv0053,43124,3940,10.95,8,9.453763497,Simenon,male,RapportGendarme,1944,1944,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
rv0054,39447,3520,11.21,8,9.1899903816,Simenon,male,PassagerPolarlys,1932,1932,novel,psychological,durs,romans,heterodiegetic,1930s,1930s
rv0055,74202,5305,13.99,11,10.4729905148,Simenon,male,AnneauxBicetre,1963,1963,novel,psychological,durs,romans,heterodiegetic,1960s,1960s
rv0056,50127,4480,11.19,9,8.7620944993,Simenon,male,VacancesMaigret,1948,1948,novel,policier,Maigret,maigr,heterodiegetic,1940s,1940s
rv0057,43961,2975,14.78,11,11.9184314526,Simenon,male,Complices,1956,1956,novel,psychological,durs,romans,heterodiegetic,1950s,1950s
rv0058,36495,3314,11.01,8,9.0727046048,Simenon,male,DemoisellesConcarneau,1936,1936,novel,psychological,durs,romans,heterodiegetic,1930s,1930s
rv0059,43948,4081,10.77,9,7.7498741241,Simenon,male,EncoreNoisetiers,1969,1969,novel,psychological,durs,romans,heterodiegetic,1960s,1960s
rv0060,34821,3231,10.78,9,7.9397989133,Simenon,male,Maigret,1934,1934,novel,policier,Maigret,maigr,heterodiegetic,1930s,1930s
rv0061,34698,3874,8.96,7,7.2212385819,Simenon,male,LibertyBar,1932,1932,novel,policier,Maigret,maigr,heterodiegetic,1930s,1930s
rv0062,35264,3400,10.37,8,8.4637998943,Simenon,male,MaigretClochard,1963,1963,novel,policier,Maigret,maigr,heterodiegetic,1960s,1960s
rv0063,37173,3816,9.74,7,8.592933122,Simenon,male,EchecMaigret,1956,1956,novel,policier,Maigret,maigr,heterodiegetic,1950s,1950s
rv0064,60722,4942,12.29,9,10.2795323347,Simenon,male,BourgmestreFurnes,1939,1938,novel,psychological,durs,romans,heterodiegetic,1930s,1930s
rv0065,38315,3228,11.87,9,9.2335471519,Simenon,male,MaigretFantome,1964,1964,novel,policier,Maigret,maigr,heterodiegetic,1960s,1960s
rv0066,38481,3785,10.17,7,9.1532065622,Simenon,male,SignePicpus,1944,1941,novel,policier,Maigret,maigr,heterodiegetic,1940s,1940s
rv0067,41328,3122,13.24,10,10.7623809523,Simenon,male,Malempin,1940,1940,novel,psychological,durs,romans,autodiegetic,1940s,1940s
rv0068,40095,3293,12.18,9,10.2146295334,Simenon,male,MaigretTendPiege,1955,1955,novel,policier,Maigret,maigr,heterodiegetic,1950s,1950s
rv0069,41862,3899,10.74,8,9.1216520636,Simenon,male,QuartierNegre,1935,1935,novel,psychological,durs,romans,heterodiegetic,1930s,1930s
rv0070,42471,3722,11.41,9,8.9774762309,Simenon,male,MaigretCoroner,1949,1949,novel,policier,Maigret,maigr,heterodiegetic,1940s,1940s
rv0071,42788,3988,10.73,8,8.9961197833,Simenon,male,MaigretPeur,1953,1953,novel,policier,Maigret,maigr,heterodiegetic,1950s,1950s
rv0072,43022,3458,12.44,9,10.1902745541,Simenon,male,MonsieurLaSouris,1937,1937,novel,policier,durs,romans,heterodiegetic,1930s,1930s
rv0073,42843,3992,10.73,8,9.0941514991,Simenon,male,CecileMorte,1942,1940,novel,policier,Maigret,maigr,heterodiegetic,1940s,1940s
rv0074,44020,4216,10.44,8,8.0299104599,Simenon,male,Maigret tueur,1969,1969,novel,policier,Maigret,maigr,heterodiegetic,1960s,1960s
rv0075,46512,4255,10.93,8,8.700079338,Simenon,male,MonAmiMaigret,1949,1949,novel,policier,Maigret,maigr,heterodiegetic,1940s,1940s
rv0076,49187,4104,11.99,8,11.2994213712,Simenon,male,TouristeBananes,1938,1938,novel,psychological,durs,romans,heterodiegetic,1930s,1930s
rv0077,51819,3417,15.17,11,12.517461118,Simenon,male,NouveauVille,1950,1950,novel,psychological,durs,romans,heterodiegetic,1950s,1950s
rv0078,55136,4115,13.40,10,11.1647618057,Simenon,male,AntoineJulie,1953,1953,novel,psychological,durs,romans,heterodiegetic,1950s,1950s
rv0079,102498,9722,10.54,8,8.6405547726,Simenon,male,LongCours,1936,1936,novel,psychological,durs,romans,heterodiegetic,1930s,1930s
rv0080,74898,6169,12.14,9,10.0025228288,Simenon,male,VoyageurToussaint,1941,1941,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
rv0081,42741,4324,9.88,8,6.7760088257,Simenon,male,CageVerre,1971,1971,novel,psychological,durs,romans,heterodiegetic,1970s,1970s
rv0082,40701,4061,10.02,8,6.9463941182,Simenon,male,Innocents,1972,1971,novel,psychological,durs,romans,heterodiegetic,1970s,1970s
rv0083,41139,2737,15.03,12,11.2888054714,Simenon,male,Train,1961,1961,novel,psychological,durs,romans,heterodiegetic,1960s,1960s
rv0084,48130,4387,10.97,8,9.0209002245,Simenon,male,MaigretPicratts,1951,1950,novel,policier,Maigret,maigr,heterodiegetic,1950s,1950s
rv0085,38793,4063,9.55,8,6.9690861117,Simenon,male,MaigretIndicateur,1971,1971,novel,policier,Maigret,maigr,heterodiegetic,1970s,1970s
rv0086,38507,4091,9.41,8,6.7398041117,Simenon,male,MaigretMonsieurCharles,1972,1972,novel,policier,Maigret,maigr,heterodiegetic,1970s,1970s
rv0087,46867,3805,12.32,8,11.3090398234,Simenon,male,MarieQuiLouche,1952,1951,novel,psychological,durs,romans,heterodiegetic,1950s,1950s
rv0088,68650,5480,12.53,8,12.845175002,Simenon,male,Pedigree1,1948,1941,novel,autobiographical,none,romans,heterodiegetic,1940s,1940s
rv0089,65303,4170,15.66,10,15.0158788204,Simenon,male,Pedigree2,1948,1942,novel,autobiographical,none,romans,heterodiegetic,1940s,1940s
rv0090,65383,4359,15.00,10,14.6107403063,Simenon,male,Pedigree3,1948,1943,novel,autobiographical,none,romans,heterodiegetic,1940s,1940s
rv0091,37221,2596,14.34,10,13.5755706754,Simenon,male,TroisCrimesAmis,1938,1937,novel,policier,none,romans,autodiegetic,1930s,1930s
rv0092,39515,3406,11.60,9,9.1929526903,Simenon,male,MaigretSeFache,1947,1945,novel,policier,Maigret,maigr,heterodiegetic,1940s,1940s
rv0093,41087,4281,9.60,8,6.8186289639,Simenon,male,DisparitionOdile,1971,1970,novel,pychological,durs,romans,heterodiegetic,1970s,1970s
rv0094,42173,4163,10.13,8,7.1701159708,Simenon,male,MaigretHommeSeul,1971,1971,novel,policier,Maigret,maigr,heterodiegetic,1970s,1970s
rv0095,43969,4425,9.94,8,8.0124642408,Simenon,male,VoleurMaigret,1967,1966,novel,policier,Maigret,maigr,heterodiegetic,1960s,1960s
rv0096,118123,10518,11.23,8,9.9842712343,Simenon,male,TestamentDonadieu,1937,1936,novel,psychological,durs,romans,heterodiegetic,1930s,1930s
rv0097,42232,3878,10.89,9,7.7361599077,Simenon,male,RicheHomme,1970,1970,novel,psychological,durs,romans,heterodiegetic,1970s,1970s
rv0098,52689,2805,18.78,16,13.9643431598,Simenon,male,Fils,1957,1956,novel,psychological,durs,romans,heterodiegetic,1950s,1950s
rv0099,52041,4350,11.96,8,10.8905441245,Simenon,male,BilanMaletras,1948,1943,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
rv0100,97401,7699,12.65,9,11.0406381184,Simenon,male,AineFerchaux,1945,1943,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
rv0101,50584,3199,15.81,9,17.2761027919,Simenon,male,FenetreRouet,1945,1942,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
